mTitle,mLink,directed_by,produced_by,written_by,starring,music_by,cinematography,edited_by,distributed_by,release_year,running_time,country,language,image_link,desc
The Adonis Factor,https://en.wikipedia.org/wiki/The_Adonis_Factor,Christopher Hines,Christopher Hines,NA,NA,NA,Christopher Hines,NA,NA,"June 19, 2010 (2010-06-19) (Frameline)",NA,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/The-adonis-factor-by-christopher-hines.jpg/220px-The-adonis-factor-by-christopher-hines.jpg,"The Adonis Factor is a 2010 documentary film produced and directed by American director Christopher Hines through his own production company Rogue Culture Inc. Filmed at various locations, it was shown at a number of gay and documentary festivals. The television premiere was April 2, 2011 on the gay channel Logo.[1]"
Adored,https://en.wikipedia.org/wiki/Adored_(film),Marco Filiberti,NA,Marco Filiberti;Italo Moscati,NA,NA,Stefano Pancaldi,Valentina Girodo,NA,2003 (2003),NA,NA,Italian,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Adored_%28film%29.jpg/220px-Adored_%28film%29.jpg,"Adored (Italian: Poco più di un anno fa - Diario di un pornodivo, also known as Little More Than a Year Ago, Adored: Diary of a Male Porn Star and Adored: Diary of a Porn Star) is a 2003 Italian drama film written, directed and starred by Marco Filiberti.[1][2]"
The Adventure of Iron Pussy,https://en.wikipedia.org/wiki/The_Adventure_of_Iron_Pussy,Apichatpong Weerasethakul;Michael Shaowanasai,NA,Apichatpong Weerasethakul;Michael Shaowanasai,Michael Shaowanasai;Krissada Terrence,NA,Surachet Thongmee,NA,Kick the Machine,"November 1, 2003 (Japan)",90 minutes,Thailand,Thai. English subtitles,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Ironpussy2.jpg/220px-Ironpussy2.jpg,"The Adventure of Iron Pussy (Thai: หัวใจทรนง, translit. Hua jai tor ra nong) is a 2003 Thai musical-action-comedy film written and directed by Apichatpong Weerasethakul and Michael Shaowanasai and starring Shaowanasai. The protagonist is a transvestite Thai secret agent whose alter ego is a gay male convenience clerk. A homage and parody of the 1970s Thai action films, musicals and melodramas, particularly those that starred Mitr Chaibancha and Petchara Chaowarat, the movie premiered at the 2003 Tokyo International Film Festival and has also played at the Berlin Film Festival, the International Film Festival Rotterdam and other festivals. It is a cult film and has screened at several gay and lesbian film festivals as well."
The Adventures of Felix,https://en.wikipedia.org/wiki/Dr%C3%B4le_de_F%C3%A9lix,Olivier Ducastel;Jaques Martineau,Philippe Martin,Olivier Ducastel;Jacques Martineau,Sami Bouajila,NA,Matthieu Poirot-Delpech,Sabine Mamou,Pyramide Distribution,19 April 2000 (2000-04-19),95 mins,France,French,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/The_Adventures_of_Felix.jpg/220px-The_Adventures_of_Felix.jpg,"Drôle de Félix (literally meaning Comedy of Félix or Amazing Félix; also known as (The) Adventures of Felix) is a 2000 French film, a road movie written and directed by Olivier Ducastel and Jacques Martineau. It stars Sami Bouajila as the title character."
"The Adventures of Priscilla, Queen of the Desert","https://en.wikipedia.org/wiki/The_Adventures_of_Priscilla,_Queen_of_the_Desert",Stephan Elliott,Al Clark;Michael Hamlyn,Stephan Elliott,Terence Stamp;Hugo Weaving;Guy Pearce;Bill Hunter,Guy Gross,Brian J. Breheny,Sue Blainey,Gramercy Pictures,10 August 1994 (1994-08-10) (In United States);8 September 1994 (1994-09-08) (In Australia),103 minutes[1],Australia,English,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Priscilla_the_Queen.jpg/220px-Priscilla_the_Queen.jpg,"The Adventures of Priscilla, Queen of the Desert is a 1994 Australian comedy-drama film written and directed by Stephan Elliott. The plot follows two drag queens played by Hugo Weaving and Guy Pearce and a transgender woman, played by Terence Stamp, as they journey across the Australian Outback from Sydney to Alice Springs in a tour bus that they have named ""Priscilla"", along the way encountering various groups and individuals. The film's title references the English slang term ""queen"" for a drag queen or female impersonator."
The Adventures of Sebastian Cole,https://en.wikipedia.org/wiki/The_Adventures_of_Sebastian_Cole,Tod Williams,Karen Barber;Jasmine Kosovic,Tod Williams,Margaret Colin;Clark Gregg;Adrian Grenier;Gabriel Macht;Aleksa Palladino;John Shea,Elizabeth Swados,John Foster,Alfonso Gonçalves,Paramount Classics,"January 23, 1999 (1999-01-23) (Sundance);August 6, 1999 (1999-08-06)",96 minutes[1],United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/The_Adventures_of_Sebastian_Cole_DVD.jpg/220px-The_Adventures_of_Sebastian_Cole_DVD.jpg,The Adventures of Sebastian Cole is a 1999 American comedy-drama film written and directed by Tod Williams and starring Adrian Grenier as the title character.
Advise & Consent,https://en.wikipedia.org/wiki/Advise_%26_Consent_(film),Otto Preminger,Otto Preminger,NA,Henry Fonda;Charles Laughton;Don Murray;Walter Pidgeon;Peter Lawford;Gene Tierney;Paul Ford;George Grizzard,Jerry Fielding,Sam Leavitt,Louis R. Loeffler,Columbia Pictures,"June 6, 1962 (1962-06-06)",139 minutes,United States,English,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Advise-%26-Consent-%281%29.jpg/220px-Advise-%26-Consent-%281%29.jpg,"Advise & Consent is a 1962 American neo noir motion picture based on the Pulitzer Prize-winning novel of the same name by Allen Drury, published in 1959.[1]"
Affinity,https://en.wikipedia.org/wiki/Affinity_(film),Tim Fywell,Adrian Bate,Andrew Davies (screenwriter);Sarah Waters (novel),Zoë Tapper;Anna Madeley;Domini Blythe;Amanda Plummer;Mary Jo Randle,Frédéric Weber,NA,Mary Finlay,NA,2008 (2008),120 minutes,United Kingdom,English,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Affinity2008Cover.jpg/220px-Affinity2008Cover.jpg,Affinity is a 2008 UK film adaptation of Sarah Waters' 1999 novel of the same name;[1] directed by Tim Fywell and screenplay by Andrew Davies.[2][3] The film was nominated for the GLAAD Media Award for Outstanding TV Movie or Limited Series.[4]
After Hours,https://en.wikipedia.org/wiki/After_Hours_(film),Martin Scorsese,Amy Robinson;Griffin Dunne;Robert F. Colesberry,Joseph Minion;Martin Scorsese (uncredited),Griffin Dunne;Rosanna Arquette;Verna Bloom;Tommy Chong;Linda Fiorentino;Teri Garr;John Heard;Richard Cheech Marin;Catherine O'Hara,Howard Shore,Michael Ballhaus,Thelma Schoonmaker,Warner Bros.,"September 13, 1985 (1985-09-13)",97 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/After_Hours_%28film%29_POSTER.jpg/220px-After_Hours_%28film%29_POSTER.jpg,"After Hours is a 1985 American black comedy film[3] directed by Martin Scorsese, written by Joseph Minion, and starring Griffin Dunne with an ensemble cast. The film follows Paul Hackett, portrayed by Dunne, as he experiences a series of misadventures while making his way home from New York City's SoHo district during the night."
After Sex,https://en.wikipedia.org/wiki/After_Sex_(2007_film),Eric Amadio,NA,Eric Amadio,Mila Kunis;Jane Seymour;Emmanuelle Chriqui;Marc Blucas;Taryn Manning;Zoe Saldana;Noel Fisher;Dave Franco,Stephen Light,Todd Hickey,NA,Anchor Bay Entertainment,2007,77 min.,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/After_Sex.jpg/220px-After_Sex.jpg,"After Sex is an American 2007 comedy-drama film about several couples having conversations after sex.[1] It looks at the complexity of modern-day relationships told through eight separate couples. Through dialogue and compromising situations, the film goes from the beginning of a relationship to the aftermath of one, and examines every stage in between."
After Stonewall,https://en.wikipedia.org/wiki/After_Stonewall,John Scagliotti,NA,NA,NA,Don DiNicola,NA,NA,First Run Features,"June 6, 1999 (1999-06-06) (Connecticut Gay and Lesbian Film Festival)",88 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/6/63/AfterStonewall.jpg,"After Stonewall is a 1999 documentary film directed by John Scagliotti about the 30 years of gay rights activism since the 1969 Stonewall riots. It is the sequel to the Scagliotti-produced 1984 film Before Stonewall and is narrated by musician Melissa Etheridge.[1] Participants include Dorothy Allison, Jewelle Gomez, Rita Mae Brown, Craig Lucas, Arnie Kantrowitz, Barbara Gittings, Barbara Smith, Larry Kramer and Barney Frank.[2]"
Age 17,https://en.wikipedia.org/wiki/Age_17,Filippo Demarchi,Michela Pini;Amel Soudani;Nicola Bernasconi (co-producer),Filippo Demarchi,Fabio Foiada;Ignazio Oliva;Laura Minazzi;Kevin Martinetti,NA,Patrick Tresch,Pierre Deschamps,NA,"1 November 2013 (2013-11-01) (Switzerland, Festival Tous Ecrans);12 December 2013 (2013-12-12) (France, Festival du film de Vendôme)",22 min,Switzerland,Italian,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Age_17_%282013_short_film%29_-_Poster.jpg/220px-Age_17_%282013_short_film%29_-_Poster.jpg,Age 17 (Italian: 17 anni) is a 2013 Swiss gay drama film written and directed by Filippo Demarchi.[2]
The Ages of Lulu,https://en.wikipedia.org/wiki/The_Ages_of_Lulu,Bigas Luna,Andrés Vicente Gómez,NA,Francesca Neri;María Barranco;Javier Bardem;Fernando Guillén Cuervo;Rosana Pastor;Pilar Bardem,Carlos Segarra,Fernando Arribas,Pablo González del Amo,Umbrella Entertainment,1990 (1990) (Spain),95 minutes,Spain,Spanish,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Las_edades_de_lulu.jpg/250px-Las_edades_de_lulu.jpg,"The Ages of Lulu (Spanish: Las edades de Lulú) is a 1990 Spanish erotic drama film written and directed by Bigas Luna and starring Francesca Neri, Óscar Ladoire, María Barranco and Javier Bardem. It is based on the homonymous novel by Almudena Grandes. The film is about the title character's life and sexual awakening in Madrid, which leads to her involvement in increasingly dangerous sexual experimentation."
Agnes and His Brothers,https://en.wikipedia.org/wiki/Agnes_and_His_Brothers,Oskar Roehler,Stefan Arndt,Oskar Roehler,Martin Weiß;Moritz Bleibtreu;Herbert Knaup;Katja Riemann;Tom Schilling,Martin Todsharow,Carl-Friedrich Koschnick,Juliane Lorenz;Simone Hofmann,X Filme Creativ Pool GmbH,14 October 2004 (2004-10-14);Germany,115 minutes,Germany,German,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Agnes_and_His_Brothers_FilmPoster.jpeg/220px-Agnes_and_His_Brothers_FilmPoster.jpeg,Agnes and His Brothers (German: Agnes und seine Brüder) is a 2004 film directed by Oskar Roehler.
Aimée & Jaguar,https://en.wikipedia.org/wiki/Aim%C3%A9e_%26_Jaguar,Max Färberböck,Hanno Huth;Günter Rohrbach;Lew Rywin,Max Färberböck;Erica Fischer (book);Rona Munro,Maria Schrader;Juliane Köhler,Jan A. P. Kaczmarek,Tony Imi,Barbara Hennings,Senator Film,10 February 1999 (1999-02-10),125 minutes,Germany,German,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Aimee_und_jaguar_gr.jpg/220px-Aimee_und_jaguar_gr.jpg,"Aimée & Jaguar is a 1999 German drama film set in Berlin during World War II. It was written and directed by Max Färberböck, based upon Erica Fischer (de)'s book, chronicling the actual lives of Lilly Wust and Felice Schragenheim during that time. Before Erica Fischer's bestseller, Lilly Wust was tracked down by the American journalist, author, and noted Holocaust researcher, Charles Brady who considered Lilly Wust a Holocaust victim. It was over a year and a half, however, before Wust was able to confide in Brady and tell him her whole story. They remained close friends for 20 years until her death in 2006."
Aishite Imasu 1941,https://en.wikipedia.org/wiki/Aishite_Imasu_1941:_Mahal_Kita,Joel Lamangan,NA,Ricardo Lee,Judy Ann Santos;Raymart Santiago;Dennis Trillo;Jay Manalo see Aishite Imasu 1941: Mahal Kita cast,NA,NA,NA,NA,"December 25, 2004 (2004-12-25)",107 minutes,NA,Tagalog;Japanese;English,NA,"Aishite Imasu 1941 (from the Japanese 愛しています meaning I Love You; Tagalog title Mahal Kita 1941, “Mahal Kita” also meaning I love You) is a drama, romance, and war movie released in Philippines in 2004 and is a story of love, betrayal and honor in wartime set in the Japanese Occupation of the Philippines (1941–1945) during World War II. It is directed by Joel Lamangan. It is an official entry to 30th Metro Manila Film Festival."
AKA,https://en.wikipedia.org/wiki/AKA_(film),Duncan Roy,Richard West,Duncan Roy,Matthew Leitch;Diana Quick;George Asprey;Lindsey Coulson,Matt Rowe,Steve Brooke Smith;Ingrid Domeij;Steve Smith;Scott Taylor;Claire Vinson,Lawrence Catford;Jon Cross;Jackie Ophir,Empire Pictures Inc.,19 January 2002 (2002-01-19),123 min,United Kingdom,English,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/AKA_Film_Poster.jpg/220px-AKA_Film_Poster.jpg,"AKA is a 2002 drama film, the first by director and writer Duncan Roy. The film is set in the late 1970s in Britain and deals with the story of Dean, an 18-year-old boy who assumes another identity in order to enter high society. Dean then meets David, an older gay man who desires him and Benjamin, a young Texan hustler.[1] It is largely an autobiographical account of Duncan Roy's early life."
AKIBA,https://en.wikipedia.org/wiki/AKIBA_(film),Yuichi Onuma,NA,Yuichi Onuma,Nonami Takizawa;Mitsuyoshi Shinoda;Yūko Nakamura,Chica Asamoto,Akihiro Niizuma,Yuichi Onuma,Benten Entertainment,"December 23, 2006 (2006-12-23)",96 minutes,Japan,Japanese,NA,"Akiba (or Maid in Akiba) is 2006 Japanese film set in the Akihabara district of Tokyo, Japan, and directed by Yuichi Onuma."
Akron,https://en.wikipedia.org/wiki/Akron_(2015_film),Brian O'Donnell[1],Brian O’Donnell and Sasha King[1],Brian O'Donnell[1],Matthew Frias;Joseph Melendez;Edmund Donovan;Andréa Burns;Isabel Rose Machado;Amy da Luz;Cailan Rose,Bill Snodgrass.[2],Patrick Jordan.[2],Bill Snodgrass[2],Wolfe Video[2],"October 10, 2015 (2015-10-10) (Seattle Lesbian &amp; Gay Film Festival);February 7, 2017 (2017-02-07) (United States);[1]",88 minutes[2],United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Akron_film_poster.jpg/220px-Akron_film_poster.jpg,"Akron (Stylized as AKRON) is a 2015 independent, LGBT themed film. The film stars Matthew Frias, (who previously starred in the sports film When the Game Stands Tall), as Benny, and Edmund Donovan as Christopher. The film portrays Benny and Christopher meeting during a football game at the University of Akron, where they fall in love. Their budding relationship is threatened by the knowledge that their respective families first met years before, during a tragic accident. The film also stars film and stage star Andréa Burns. The film has earned several awards, including Best Feature Film, at numerous film festivals in the United States."
Albert Nobbs,https://en.wikipedia.org/wiki/Albert_Nobbs,Rodrigo García,Glenn Close;Bonnie Curtis;John Goff[1],NA,Glenn Close;Mia Wasikowska;Aaron Johnson;Janet McTeer;Pauline Collins;Jonathan Rhys Meyers;Brendan Gleeson;Maria Doyle Kennedy,Brian Byrne,Michael McDonough,Steven Weisberg,Lionsgate;Roadside Attractions (USA);Entertainment One (UK),2 September 2011 (2011-09-02) (Telluride),113 minutes,United Kingdom;Ireland,English,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Albert_Nobbs_poster.jpg/220px-Albert_Nobbs_poster.jpg,"Albert Nobbs is a 2011 British-Irish drama film directed by Rodrigo García and starring Glenn Close. The screenplay, by Close, John Banville, and Gabriella Prekop, is based on a 1927 novella by George Moore."
Aleksandr's Price,https://en.wikipedia.org/wiki/Aleksandr%27s_Price,Pau Masó;David Damen,Pau Masó,Pau Masó,Pau Masó;Anatoli Grek;Josh Berresford;Samantha Glovin;Keith Dougherty,Dave Klotz,David Damen,Pau Masó,Breaking Glass Pictures,"July 12, 2013 (2013-07-12) (QFest);September 1, 2013 (2013-09-01) (VOD);September 4, 2013 (2013-09-04) (DVD - France);September 24, 2013 (2013-09-24) (DVD - U.S. &amp; Canada);October 25, 2013 (2013-10-25) (DVD - Germany, Austria, Switzerland)",103 minutes,United States;Spain,English;Russian,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Aleksandr%27s_Price_DVD_Region_1_Poster.jpg/220px-Aleksandr%27s_Price_DVD_Region_1_Poster.jpg,"Aleksandr's Price is a 2013 American-Spanish psychological drama film written, edited, and produced by Pau Masó, who additionally co-directs with David Damen. Set in New York City and stars Pau Masó, Anatoli Grek, Josh Berresford, Samantha Glovin, and Keith Dougherty, the film tells the story of an illegal Russian boy in Manhattan who after losing his mother to suicide, is drawn into becoming a male prostitute."
